ID,Text,Sentiment,Date_UTC,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_Normalized
0,Enjoying a beautiful day at the park!,Positive,15/01/2023 12:00,User123,Twitter,#Nature #Park,15,30,USA,2023,1,15,12,Positive
1,Traffic was terrible this morning.,Negative,15/01/2023 9:00,CommuterX,Twitter,#Traffic #Morning,5,10,Canada,2023,1,15,8,Negative
2,Just finished an amazing workout! 💪,Positive,15/01/2023 16:00,FitnessFan,Instagram,#Fitness #Workout,20,40,USA,2023,1,15,15,Positive
3,Excited about the upcoming weekend getaway!,Positive,15/01/2023 18:00,AdventureX,Facebook,#Travel #Adventure,8,15,UK,2023,1,15,18,Positive
4,Trying out a new recipe for dinner tonight.,Neutral,15/01/2023 20:00,ChefCook,Instagram,#Cooking #Food,12,25,Australia,2023,1,15,19,Neutral
5,Feeling grateful for the little things in life.,Positive,16/01/2023 9:00,GratitudeNow,Twitter,#Gratitude #PositiveVibes,25,50,India,2023,1,16,9,Positive
6,Rainy days call for cozy blankets and hot cocoa.,Positive,16/01/2023 15:00,RainyDays,Facebook,#RainyDays #Cozy,10,20,Canada,2023,1,16,14,Positive
7,The new movie release is a must-watch!,Positive,16/01/2023 20:00,MovieBuff,Instagram,#MovieNight #MustWatch,15,30,USA,2023,1,16,19,Positive
8,Political discussions heating up on the timeline.,Negative,17/01/2023 8:00,DebateTalk,Twitter,#Politics #Debate,30,60,USA,2023,1,17,8,Negative
9,Missing summer vibes and beach days.,Neutral,17/01/2023 12:00,BeachLover,Facebook,#Summer #BeachDays,18,35,Australia,2023,1,17,12,Neutral
10,Just published a new blog post. Check it out!,Positive,17/01/2023 15:00,BloggerX,Instagram,#Blogging #NewPost,22,45,USA,2023,1,17,15,Positive
11,Feeling a bit under the weather today.,Negative,18/01/2023 11:00,WellnessCheck,Twitter,#SickDay #Health,7,15,Canada,2023,1,18,10,Negative
12,Exploring the city's hidden gems.,Positive,18/01/2023 15:00,UrbanExplorer,Facebook,#CityExplore #HiddenGems,12,25,UK,2023,1,18,14,Positive
13,"New year, new fitness goals! 💪",Positive,18/01/2023 18:00,FitJourney,Instagram,#NewYear #FitnessGoals,28,55,USA,2023,1,18,18,Positive
14,Technology is changing the way we live.,Neutral,19/01/2023 10:00,TechEnthusiast,Twitter,#Tech #Innovation,15,30,India,2023,1,19,9,Neutral
15,Reflecting on the past and looking ahead.,Positive,19/01/2023 13:00,Reflections,Facebook,#Reflection #Future,20,40,USA,2023,1,19,13,Positive
16,Just adopted a cute furry friend! 🐾,Positive,19/01/2023 17:00,PetAdopter,Instagram,#PetAdoption #FurryFriend,15,30,Canada,2023,1,19,17,Positive
17,Late-night gaming session with friends.,Positive,20/01/2023 0:00,GamerX,Twitter,#Gaming #LateNight,18,35,UK,2023,1,20,0,Positive
18,Attending a virtual conference on AI.,Neutral,20/01/2023 12:00,TechConference,Facebook,#AI #TechConference,25,50,USA,2023,1,20,11,Neutral
19,Winter blues got me feeling low.,Negative,20/01/2023 15:00,WinterBlues,Instagram,#WinterBlues #Mood,8,15,USA,2023,1,20,15,Negative
20,Sipping coffee and enjoying a good book.,Positive,21/01/2023 9:00,Bookworm,Twitter,#Reading #CoffeeTime,22,45,India,2023,1,21,8,Positive
21,Exploring the world of virtual reality.,Positive,21/01/2023 13:00,VRExplorer,Facebook,#VR #VirtualReality,15,30,USA,2023,1,21,13,Positive
22,Productive day ticking off my to-do list.,Positive,21/01/2023 17:00,ProductivityPro,Instagram,#Productivity #WorkFromHome,30,60,USA,2023,1,21,16,Positive
23,Just finished a challenging workout routine.,Positive,22/01/2023 9:00,FitnessWarrior,Twitter,#Fitness #ChallengeAccepted,20,40,UK,2023,1,22,9,Positive
24,Celebrating a milestone at work! ??,Positive,22/01/2023 15:00,CareerMilestone,Facebook,#Career #Milestone,12,25,Canada,2023,1,22,14,Positive
25,Sunday brunch with friends.,Positive,22/01/2023 12:00,BrunchBuddy,Instagram,#Brunch #Friends,15,30,UK,2023,1,22,12,Positive
28,Learning a new language for personal growth.,Positive,23/01/2023 16:00,LanguageLearner,Facebook,#LanguageLearning #PersonalGrowth,25,50,India,2023,1,23,16,Positive
29,Quiet evening with a good book.,Positive,23/01/2023 20:00,BookLover,Instagram,#Reading #QuietTime,15,30,Australia,2023,1,23,19,Positive
30,Reflecting on the importance of mental health.,Positive,24/01/2023 12:00,MentalHealthMatters,Twitter,#MentalHealth #SelfCare,22,45,USA,2023,1,24,11,Positive
31,New painting in progress! ??,Positive,24/01/2023 15:00,ArtistInAction,Facebook,#Art #PaintingInProgress,12,25,Canada,2023,1,24,15,Positive
32,Weekend road trip to explore scenic views.,Positive,24/01/2023 18:00,RoadTripper,Instagram,#RoadTrip #ScenicViews,18,35,UK,2023,1,24,17,Positive
33,Enjoying a cup of tea and watching the sunset.,Positive,25/01/2023 18:00,SunsetWatcher,Twitter,#TeaTime #Sunset,15,30,India,2023,1,25,18,Positive
34,Coding a new project with enthusiasm.,Positive,25/01/2023 13:00,CodeEnthusiast,Facebook,#Coding #Enthusiasm,30,60,USA,2023,1,25,13,Positive
35,Feeling inspired after attending a workshop.,Positive,26/01/2023 10:00,WorkshopAttendee,Instagram,#Inspiration #Workshop,25,50,USA,2023,1,26,9,Positive
36,Winter sports day at the local park.,Positive,26/01/2023 14:00,WinterSports,Twitter,#WinterSports #Fun,15,30,Canada,2023,1,26,14,Positive
37,Quality time with family this weekend.,Positive,26/01/2023 18:00,FamilyTime,Facebook,#FamilyTime #Weekend,22,45,UK,2023,1,26,17,Positive
38,Attending a live music concert tonight.,Positive,27/01/2023 20:00,MusicLover,Instagram,#Music #ConcertNight,18,35,USA,2023,1,27,20,Positive
39,Practicing mindfulness with meditation.,Positive,27/01/2023 12:00,MindfulMoments,Twitter,#Mindfulness #Meditation,15,30,India,2023,1,27,12,Positive
40,Trying out a new dessert recipe.,Positive,27/01/2023 16:00,DessertExplorer,Facebook,#Dessert #Cooking,12,25,Canada,2023,1,27,16,Positive
41,Excited about the upcoming gaming tournament.,Positive,28/01/2023 9:00,GamingEnthusiast,Instagram,#Gaming #Tournament,30,60,USA,2023,1,28,9,Positive
42,Planning a garden makeover for spring.,Positive,28/01/2023 15:00,GardenPlanner,Twitter,#Gardening #Spring,25,50,USA,2023,1,28,14,Positive
43,Celebrating a friend's birthday tonight! ??,Positive,28/01/2023 20:00,BirthdayBash,Facebook,#Birthday #Celebration,15,30,UK,2023,1,28,19,Positive
44,Feeling accomplished after a productive day.,Positive,29/01/2023 17:00,ProductivityWin,Instagram,#Accomplished #Success,22,45,India,2023,1,29,17,Positive
45,A cozy evening with a good movie.,Positive,29/01/2023 20:00,MovieNight,Twitter,#CozyNight #MovieTime,18,35,Canada,2023,1,29,20,Positive
46,Exploring local art galleries this weekend.,Positive,30/01/2023 12:00,ArtExplorer,Facebook,#Art #GalleryExplore,15,30,USA,2023,1,30,11,Positive
47,New book release from my favorite author!,Positive,30/01/2023 16:00,BookwormX,Instagram,#BookRelease #FavoriteAuthor,12,25,UK,2023,1,30,15,Positive
48,Attending a virtual reality meetup.,Positive,30/01/2023 18:00,VRMeetup,Twitter,#VRMeetup #VirtualReality,28,55,India,2023,1,30,18,Positive
49,Reflecting on the beauty of nature.,Positive,31/01/2023 11:00,NatureLover,Facebook,#Nature #Reflection,15,30,Australia,2023,1,31,10,Positive
50,Cooking a special dinner for loved ones.,Positive,31/01/2023 19:00,ChefAtHome,Instagram,#Cooking #SpecialDinner,20,40,USA,2023,1,31,19,Positive
51,Feeling optimistic about the week ahead.,Positive,31/01/2023 16:00,OptimisticMindset,Twitter,#Optimism #NewWeek,15,30,Canada,2023,1,31,16,Positive
